;audio;transcript
25;02_17_2022_chunk_1.wav;Buongiorno dal Tg uno, la Corte costituzionale ammette 5 dei sei referendum sulla giustizia, bocciati quesiti sulla responsabilità civile dei magistrati e sulle sostanze stupefacenti. Quest'ultimo spiega il Presidente della Consulta Giuliano Amato, avrebbe portato alla violazione di obblighi internazionali.
26;02_17_2022_chunk_1.wav;Quindi sul quesito sull'eutanasia respinto due giorni fa, dice, se ne occupi il Parlamento e oggi riprende alla Camera l'esame della proposta di legge sul fine vita.
27;02_17_2022_chunk_2.wav;Le reazioni della politica la Lega e promotrice, con il Partito radicale dei referendum sulla giustizia. E una vittoria clamorosa, ha commentato Matteo Salvini.
28;02_17_2022_chunk_2.wav;Giorgia Meloni di Fratelli d'Italia, soddisfatta per lo stop a quello sulle sostanze stupefacenti e appoggerà due dei referendum sulla giustizia sui quali esprimono soddisfazione Forza Italia e Italia viva.
29;02_17_2022_chunk_2.wav;Conte dei 5 Stelle avverte.
30;02_17_2022_chunk_2.wav;I quesiti non sono idonei a migliorare il servizio, noi orientati a respingerli
31;02_17_2022_chunk_2.wav;Il Pd sottolinea la centralità del Parlamento per realizzare riforme strategiche, anche per attuare il PNR.
32;02_17_2022_chunk_3.wav;Il Presidente del Consiglio Mario Draghi, a Parigi ha incontrato il Presidente francese Macron. Al centro la situazione nel Sahel, ma anche la vicenda Ucraina.
33;02_17_2022_chunk_3.wav;E oggi previsto il summit Europa Africa.
34;02_17_2022_chunk_3.wav;Ieri in visita e laboratori del Gran Sasso, il premier aveva detto, la ricerca al centro della crescita.
35;02_17_2022_chunk_3.wav;In arrivo dal cnr R 30 miliardi dedicati proprio a ricerca e istruzione.
36;02_17_2022_chunk_4.wav;Quello del ritiro delle truppe russe dal confine con l'Ucraina è un annuncio falso di Mosca, che invece ha schierato altri soldati.
37;02_17_2022_chunk_4.wav;Lo afferma la Casa Bianca, che continua a temere un attacco e chiede passi concreti di de escalation.
38;02_17_2022_chunk_4.wav;Il ministro degli Esteri Di Maio oggi a Mosca incontra il suo omologo, la prof.
39;02_17_2022_chunk_5.wav;La pandemia in Italia netto calo dei ricoveri, in una settimana sono diminuiti del 17% il 72% dei pazienti in ospedale non sono vaccinati o non hanno completato il ciclo.
40;02_17_2022_chunk_6.wav;Ed è tutto grazie per averci seguito. Il tg uno torna alle 8, buona giornata.
41;02_18_2022_chunk_1.wav;Buongiorno dal Tg uno è stata completamente evacuata la nave euro Ferri Olimpia della Grimaldi Lines, dove all'alba è scoppiato un incendio mentre era in viaggio dal porto greco di Ecumenista Verso Brindisi. Nessun ferito, a bordo c'erano 239 passeggeri e 51 membri di equipaggio.
42;02_18_2022_chunk_1.wav;Sul posto sono state inviate tre motovedette e tre rimorchiatori della guardia costiera greca. Ancora da accertare le cause del rogo.
43;02_18_2022_chunk_2.wav;Sempre più alta la tensione in Ucraina, ieri colpi di mortaio su un asilo nel Donbass.
44;02_18_2022_chunk_2.wav;Biden parla di rischio di invasione imminente da parte della Russia, mentre continuano gli sforzi della diplomazia.
45;02_18_2022_chunk_2.wav;Blinken la prossima settimana incontrerà l'omologo russo, Lavrov.
46;02_18_2022_chunk_2.wav;Il Premier Draghi è atteso a Mosca nei prossimi giorni. Oggi vertice tra Washington e i leader dell'Unione europea e della NATO.
47;02_18_2022_chunk_3.wav;Rientrato dal Consiglio europeo di Bruxelles, Draghi è andato dal Presidente Mattarella e poi ha riunito i capi delegazione dei partiti della maggioranza e ha chiesto loro coerenza dopo che il governo è andato sotto quattro volte sul milleproroghe.
48;02_18_2022_chunk_3.wav;Oggi è prevista la cabina di regia e subito dopo il Consiglio dei ministri per decidere sul caro bollette.
49;02_18_2022_chunk_3.wav;Previsto un intervento di 5 6 miliardi.
50;02_18_2022_chunk_4.wav;La pandemia in Italia previsto un graduale allentamento delle restrizioni già da questo fine settimana. Capienza degli stadi al 75% e dal 10 Marzo riaprono i bar nei cinema e nei teatri e sarà nuovamente possibile visitare i familiari in ospedale. Resta l'obbligo di green pace, ma si valuta se toglierlo all'aperto.
51;02_18_2022_chunk_4.wav;Contagi in calo per la terza settimana consecutiva, diminuiscono i ricoveri in ospedale.
52;02_18_2022_chunk_5.wav;Il calcio con l'Europa League, vittoria dell'Atalanta sulle Olympiacos, mentre il Napoli al Camp Nou pareggia con il Barcellona.
53;02_18_2022_chunk_5.wav;Lazio battuta in Portogallo dal porto e oggi torna il campionato con il derby della mole.
54;02_18_2022_chunk_6.wav;Ed è tutto grazie per averci seguito. Il tg uno torna alle 8, buona giornata.
55;02_19_2022_chunk_1.wav;Buongiorno dal Tg uno, cresce la tensione in Ucraina, secondo il Presidente americano Biden, è imminente un'invasione russa in Ucraina, ma resta comunque aperta l'opzione diplomatica. Domani colloquio telefonico tra Macron e Putin e a Monaco, si apre una conferenza sulla sicurezza ma per la prima volta senza Mosca.
56;02_19_2022_chunk_1.wav;Intanto nel Donbass aumentano gli scontri tra fazioni e in corso l'evacuazione di civili dalle repubbliche autonome verso il territorio russo.
57;02_19_2022_chunk_2.wav;E ora le misure approvate dal Consiglio dei ministri, 8 miliardi stanziati senza scostamento di bilancio di cui 05:30 destinati a famiglie e imprese per frenare i rincari delle bollette previsto anche un miliardo all'anno per 8 anni sull automotive.
58;02_19_2022_chunk_2.wav;Interventi anche sui crediti per i bonus edilizi.
59;02_19_2022_chunk_3.wav;Atteso a Brindisi il traghetto che riporterà in Italia una parte dei superstiti dell'incendio divampato due notti fa su una nave della Grimaldi Lines salpata dai gomenizza.
60;02_19_2022_chunk_3.wav;Le quasi 300 persone a bordo, tra passeggeri e membri dell'equipaggio, erano state precedentemente portate in salvo a Corfù.
61;02_19_2022_chunk_3.wav;Ripresa all'alba la ricerca dei dispersi, 10 invece i feriti. Le fiamme sarebbero partite dalla stiva.
62;02_19_2022_chunk_4.wav;La tempesta unisse, colpisce l'Europa a nord occidentale, dopo aver interessato il Regno Unito.
63;02_19_2022_chunk_4.wav;20 a 200 km all'ora e onde spettacolari nel Mare del Nord. Almeno 8 le vittime ingenti danni, caos nei trasporti, centinaia di voli, treni e traghetti sono stati cancellati.
64;02_19_2022_chunk_5.wav;Il Toro rallenta la corsa della Juventus alla Champions.
65;02_19_2022_chunk_5.wav;Il derby della mole finisce uno a uno e i bianconeri restano quarti in classifica, ma solo a più tre dall'atalanta, che ancora due partite da recuperare.
66;02_19_2022_chunk_5.wav;Oggi in campo Sampdoria Empoli, Roma Verona e Salernitana Milan.
67;02_19_2022_chunk_6.wav;Ed è tutto grazie per averci seguito. Il tg uno torna alle 13:30 buona giornata.
68;02_20_2022_chunk_1.wav;Buongiorno dal Tg uno è sempre più alta la tensione tra Mosca e Kiev, ieri al G 7 sulla sicurezza di Monaco, il Presidente ucraino Zelensky ha chiesto aiuti immediati e concreti all'Occidente. Intanto il Presidente statunitense Biden ha convocato per oggi il Consiglio per la sicurezza nazionale.
69;02_20_2022_chunk_1.wav;E il premier britannico Johnson, intervistato dalla BBC a margine del G 7, ha detto, la Russia sta pianificando la più grande guerra in Europa dal 1945 ad oggi.
70;02_20_2022_chunk_2.wav;E Stato ritrovato vivo uno dei passeggeri dispersi a bordo del traghetto della Grimaldi Lines, andato a fuoco nella notte tra giovedì e venerdì al largo di Corfù.
71;02_20_2022_chunk_2.wav;L'uomo, un cittadino bielorusso, è stato avvistato a poppa della nave. Tanto si teme il disastro ambientale per il rischio di sversamento di liquami in mare. E poco fa è arrivata a Brindisi la nave florentia con alcuni sopravvissuti all'incendio.
72;02_20_2022_chunk_3.wav;La pandemia l'Agenzia italiana del farmaco ha dato il via libera alla quarta dose di vaccino per i soggetti fortemente fragili.
73;02_20_2022_chunk_3.wav;Continua intanto a calare la curva del contagio.
74;02_20_2022_chunk_3.wav;Poco più di 50.000 in nuovi casi, 252 i decessi. Scendono anche i ricoveri.
75;02_20_2022_chunk_3.wav;Da domani tutta Italia sarà in zona gialla, eccetto Umbria e Basilicata, bianche e Friuli Venezia Giulia, arancione.
76;02_20_2022_chunk_4.wav;Si chiudono oggi le Olimpiadi invernali di Pechino, stasera nella cerimonia di chiusura portabandiera sarà Francesca Lollobrigida, che ha vinto un'altra medaglia. l'Italia conclude così al tredicesimo posto con 17 medaglie.
77;02_20_2022_chunk_5.wav;Achille Lauro ha vinto con stripper la prima edizione di una voce per San Marino e parteciperà come rappresentante della piccola Repubblica all'Eurovision Song Contest, in programma dal 10 al 14 maggio a Torino.
78;02_20_2022_chunk_5.wav;Lo ha scelto una giuria guidata da Mogol nella serata finale.
79;02_20_2022_chunk_6.wav;Ed è tutto grazie per averci seguito. Il tg uno torna alle 13:30 buona giornata.
80;05_02_2022_chunk_1.wav;Buongiorno dal Tg uno, la pandemia in Italia scendono i contagi sotto la soglia dei 100.000.
81;05_02_2022_chunk_1.wav;Si apre una fase nuova ma serve prudenza, ha detto il ministro della Salute speranza.
82;05_02_2022_chunk_1.wav;Passa da 10 a 5 giorni la quarantena anche per le persone non vaccinate, entrate in contatto stretto con un positivo.
83;05_02_2022_chunk_1.wav;In controtendenza alle Marche che da lunedì passano in zona arancione.
84;05_02_2022_chunk_2.wav;Con una grandiosa cerimonia si sono aperte le Olimpiadi invernali di Pechino.
85;05_02_2022_chunk_2.wav;Gli atleti italiani hanno sfilato avvolti nella mantella tricolore guidati dalla portabandiera Michela moioli.
86;05_02_2022_chunk_2.wav;Ultima tedofora un'atleta uigura.
87;05_02_2022_chunk_2.wav;Sugli spalti il Presidente cinese Jinping e Vladimir Putin.
88;05_02_2022_chunk_2.wav;Cominciate le gare.
89;05_02_2022_chunk_2.wav;Problemi meteo mettono a rischio la discesa libera.
90;05_02_2022_chunk_3.wav;Roma si prepara a dare l'ultimo saluto a Monica Vitti.
91;05_02_2022_chunk_3.wav;Alle 15 i funerali nella chiesa degli artisti a piazza del popolo.
92;05_02_2022_chunk_3.wav;Diretta TV su Rai Uno.
93;05_02_2022_chunk_3.wav;Ieri folla di gente comune e artisti alla Camera ardente in Campidoglio.
94;05_02_2022_chunk_4.wav;Festival di Sanremo, Gianni Morandi in 2 8 con Jovanotti per un medley dei loro successi, hanno vinto la quarta serata dedicata alle cover.
95;05_02_2022_chunk_4.wav;Al secondo posto Mahmood con Blanco e il cielo in una stanza. Al terzo posto per Elisa.
96;05_02_2022_chunk_4.wav;What a feeling, stasera la finalissima
97;05_02_2022_chunk_5.wav;Il calcio torna alla serie A con tre anticipi di campionato, alle 15 in campo Roma Genoa, alle 18 il Derby tra Inter e Milan e alle 20:45 Fiorentina Lazio.
98;05_02_2022_chunk_6.wav;Dal G uno, per il momento è tutto grazie per averci seguito. L'appuntamento è alle 13:30 buona giornata.
99;07_02_2022_chunk_1.wav;Buongiorno dalla Tg uno, continua il calo dei contagi che in tre settimane si sono quasi dimezzati. Ieri 77.000 nuovi casi con un tasso di positività stabile all'undici virgola 2%. Da oggi scattano le nuove regole sulla durata del Green Pass per i vaccinati e su DAD e quarantena a scuola.
100;07_02_2022_chunk_2.wav;La crisi Russia Ucraina, diplomazia europea in movimento, colloquio telefonico ieri tra Joe Biden e Manuel Macron, che oggi vedrà Putin a Mosca e domani sarà Kiev. Si mobilita anche il Cancelliere tedesco. Shorts che stasera andrà a Washington.
101;07_02_2022_chunk_3.wav;L'emergenza migranti è stata al centro dell'intervista di Fabio Fazio a Papa Francesco, Che tempo che fa stoppa le guerre sia all'inclusione all'accoglienza è un grido d'allarme, il Mediterraneo è diventato il più grande cimitero d'Europa. La Chiesa, sia in pellegrinaggio, dice il Pontefice.
102;07_02_2022_chunk_4.wav;Calcio la Juventus batte il Verona e scavalca il quarto posto, l'Atalanta, che ha una partita in meno, il Napoli supera il Venezia e riaccende il campionato in vista della super sfida di sabato prossimo contro l'Inter, che resta prima in classifica, 53 punti, tallonata una sola lunghezza da Napoli e Milan.
103;07_02_2022_chunk_5.wav;Le Olimpiadi invernali di Pechino al termine della prima manche del gigante femminile, Federica Brignone, terza in classifica, nessuna medaglia dalla libera maschile, mentre avanza la squadra di curling e l'italiano fischnaller ha conquistato un bronzo della prova di slittino.
104;07_02_2022_chunk_6.wav;Grazie per la vostra attenzione. Il tg uno torna alle 8. Buona giornata a tutti.
105;09_03_2022_chunk_1.wav;Buongiorno dal tg uno.
106;09_03_2022_chunk_1.wav;I ministri delle Finanze del g 7 danno l'Okay al Price Cup sul petrolio e la presidente della Commissione Ue, Ursula von der Leyen, auspica a breve un tetto anche al prezzo del gas.
107;09_03_2022_chunk_1.wav;Dura la replica di Mosca che promette ritorsioni.
108;09_03_2022_chunk_1.wav;Nord Stream blocca di nuovo il flusso del gas ufficialmente per un guasto a una turbina.
109;09_03_2022_chunk_2.wav;Il vertiginoso innalzamento dei prezzi dell'energia costituisce uno dei nodi più critici del momento attuale, è necessaria e urgente una risposta europea all'altezza dei problemi.
110;09_03_2022_chunk_2.wav;Lo scrive il Presidente Mattarella in un messaggio al forum Ambrosetti. Nel liberarsi dalla dipendenza russa per le fonti di energia, l'Europa è chiamata ancora una volta a compiere un salto in avanti in determinazione politica, integrazione, innovazione aggiunge il capo dello Stato.
111;09_03_2022_chunk_3.wav;Intanto prosegue la missione della IEA nella centrale nucleare Ucraina di Zaporozhye.
112;09_03_2022_chunk_3.wav;Alcuni tecnici dell'Agenzia internazionale per l'energia atomica resteranno stabilmente all'interno dell'impianto e martedì la IEA riferirà all'ONU sull'esito della missione.
113;09_03_2022_chunk_4.wav;Quarant'anni fa la strage di via Carini a Palermo, dove vennero uccisi il Prefetto Carlo Alberto dalla Chiesa, la moglie Emanuela Setti Carraro e un agente di scorta.
114;09_03_2022_chunk_4.wav;La città ricorda la figura simbolo nella lotta alla mafia. Ancora molti misteri da chiarire.
115;09_03_2022_chunk_5.wav;La mostra del cinema di Venezia ieri è stata la giornata di Timothy Chalamet.
116;09_03_2022_chunk_5.wav;Protagonista di Bones and doll diretto da Luca guadagnino.
117;09_03_2022_chunk_5.wav;Il primo film italiano in corsa per il Leone d'oro, si è presentato sul Red Carpet in abito rosso sangue con la schiena nuda e oggi è il turno di un'altro film italiano in concorso.
118;09_03_2022_chunk_5.wav;Monica di Andrea Pallaoro.
119;09_03_2022_chunk_6.wav;Ed è tutto per questa edizione.
120;09_03_2022_chunk_6.wav;Il tg uno torna alle 13:30.
121;09_03_2022_chunk_6.wav;Grazie per l'attenzione, arrivederci.
122;09_05_2022_chunk_1.wav;Buongiorno dal tg uno, guerra in Ucraina, sanzioni alla Russia e soluzioni economiche per fare fronte alla crisi energetica, questi i temi affrontati dai leader politici nel confronto al forum Ambrosetti di Cernobbio, a 20 giorni dal voto.
123;09_05_2022_chunk_1.wav;Per la Meloni perfezionare il PNR non è un'eresia, linea condivisa da Tajani, Forza Italia.
124;09_05_2022_chunk_1.wav;Salvini è perplesso sull'efficacia delle sanzioni alla Russia.
125;09_05_2022_chunk_1.wav;Ma per Letta Pd è pericoloso mettere in discussione atlantismo ed europeismo.
126;09_05_2022_chunk_1.wav;Conte 5 Stelle propone di tagliare cuneo fiscale e Irap.
127;09_05_2022_chunk_1.wav;Calenda terzo polo, servono 11 termovalorizzatori e tre rigassificatori.
128;09_05_2022_chunk_2.wav;La Presidente della Commissione europea von der Leyen ha ribadito il sostegno a Kiev in una telefonata con Zelensky. Trattato anche il tema di nuove sanzioni contro la Russia, Mosca minaccia l'arrivo di una tempesta globale e avverte, in futuro la situazione non può che peggiorare. Ancora attenzione alla centrale di zaporozhye.
129;09_05_2022_chunk_3.wav;Strage in Canada, dove la polizia dalla caccia a due uomini sospettati di avere ucciso a coltellate 10 persone e averne ferite almeno 15. L'attacco è stato sferrato in 13 diverse zone. Ai residenti è stato raccomandato di rimanere in casa. Il Presidente Trudeau ha definito quanto accaduto un fatto orribile e ha espresso il suo cordoglio ai familiari delle vittime.
130;09_05_2022_chunk_3.wav;Prende il via questa mattina a Parigi il processo a 8 imputati per la strage di matrice islamica Nizza. Si tratta dei complici del responsabile ucciso dalle forze dell'ordine il giorno stesso dell'attacco. Sono passati sei anni da quando un camion lanciato contro la folla sul lungomare uccise 86 persone, tra cui sei italiani.
131;09_05_2022_chunk_4.wav;Mostra.
132;09_05_2022_chunk_4.wav;Del cinema di Venezia, oggi grande attesa per Harry Styles, protagonista del film don't Worry Darling, e arriva anche il documentario fuori concorso in viaggio di Gianfranco Rosi, ieri star del Festival è stata Penelope Cruz, protagonista del terzo film italiano in concorso l'immensità di Emanuele Crialese.
133;09_05_2022_chunk_4.wav;Ed è tutto il tg uno torna alle 13:30, buon proseguimento di giornata su Rai Uno.
134;09_07_2022_chunk_1.wav;Buongiorno dal g uno, l'Italia sarà indipendente dal gas di Mosca nell'inverno del 2024 e il piano di risparmio energetico non richiederà sacrifici draconiani. Lo assicura il ministro della Transizione ecologica Roberto Cingolani.
135;09_07_2022_chunk_1.wav;Ma da Vladivostok il presidente della Federazione russa Putin torna ad attaccare l'Occidente, accusa l'Europa di sacrificare la qualità della vita per preservare la dittatura americana.
136;09_07_2022_chunk_1.wav;Le sanzioni sono un pericolo per il mondo intero aggiunge la Russia non può essere isolata.
137;09_07_2022_chunk_1.wav;Rincari energia, presentato il piano del governo per il contenimento dei consumi di gas, tra le misure previste, la produzione di energia elettrica con combustibili diversi dal gas e 1 è in meno di temperatura per il riscaldamento degli ambienti di lavoro e residenziali nelle case ridotta l'accensione dei termosifoni per un'ora.
138;09_07_2022_chunk_1.wav;Al giorno.
139;09_07_2022_chunk_2.wav;A zaporozhye si sta scherzando con il fuoco. Bisogna creare subito una zona di protezione e la richiesta del Direttore generale della IEA, l'Agenzia ONU per l'energia atomica, Rafael grossi, che è intervenuto in video collegamento al Consiglio di sicurezza delle Nazioni Unite.
140;09_07_2022_chunk_2.wav;Anche nelle ultime ore ci sono state esplosioni nella zona dell'impianto.
141;09_07_2022_chunk_3.wav;Il tennis con gli US open, niente da fare per Matteo berrettini, sconfitto ai quarti di finale dal norvegese rude per tre SET a zero.
142;09_07_2022_chunk_3.wav;Speranze azzurre riposte ora su Yannick Sinner, che affronterà lo spagnolo al cras.
143;09_07_2022_chunk_3.wav;Champions League, avvio faticoso delle italiane, sconfitta della Juventus con il Paris Saint Germain per due a uno protagonista.
144;09_07_2022_chunk_3.wav;1 1 del Milan a Salisburgo, i rossoneri partono male ma poi si riprendono oggi in campo Napoli Liverpool e Inter Bayern Monaco.
145;09_07_2022_chunk_4.wav;E tutto il TG uno torna alle 13:30 buona giornata.
146;09_10_2022_chunk_2.wav;Buongiorno dal TG uno a Londra tutto è pronto per la proclamazione di Re Carlo, terzo nel primo discorso alla nazione, il ricordo e l'omaggio alla madre Elisabetta seconda, che si è spenta due giorni fa a 96 anni, nel castello di Balmoral.
147;09_10_2022_chunk_2.wav;Carlo ha promesso di servire il paese con lealta e dedizione per tutta la vita.
148;09_10_2022_chunk_2.wav;Diretta del TG uno dalle 10:30.
149;09_10_2022_chunk_2.wav;Al Vertice straordinario europeo sull'energia è slittato l'accordo sul Price Cup, si oppongono, tra gli altri, l'Olanda e alcuni paesi dell'est.
150;09_10_2022_chunk_2.wav;I ministri hanno impegnato la stessa Commissione a presentare una proposta specifica entro metà settembre.
151;09_10_2022_chunk_3.wav;Il Presidente della Repubblica Mattarella, terminando la visita di due giorni in Albania e Macedonia del Nord, è intervenuto sul tetto al prezzo del gas. Occorre superare le ultime resistenze ha detto per porre le famiglie al riparo dalle specula.
152;09_10_2022_chunk_4.wav;La mostra del cinema di Venezia c'è attesa per il Leone d'oro che verrà assegnato questa sera.
153;09_10_2022_chunk_4.wav;Tra star e Red carpet dicono gli organizzatori, è stato il vero ritorno dopo due anni di pandemia.
154;09_10_2022_chunk_5.wav;Ed è tutto per questa edizione, il TG uno torna alle 13:30 grazie per l'attenzione, arrivederci.
155;09_12_2022_chunk_1.wav;Buongiorno dal tg uno.
156;09_12_2022_chunk_1.wav;Nel Nord Est dell'Ucraina prosegue la controffensiva dell'esercito di Kiev.
157;09_12_2022_chunk_1.wav;Che dichiara di essere arrivato a pochi chilometri dal confine russo.
158;09_12_2022_chunk_1.wav;Avanzeremo e libereremo il paese, ha detto il presidente Zelensky.
159;09_12_2022_chunk_1.wav;Alcune esplosioni si sono verificate in diverse regioni dopo un blackout elettrico che ha colpito in particolare carchivi e sumi.
160;09_12_2022_chunk_1.wav;I russi hanno lanciato missili sia dal Mar Caspio sia dal Mar Nero.
161;09_12_2022_chunk_1.wav;Ieri il Presidente francese Macron ha parlato con Putin della sicurezza della centrale nucleare di Zaja.
162;09_12_2022_chunk_2.wav;In Gran Bretagna.
163;09_12_2022_chunk_2.wav;Re Carlo terzo raggiungerà oggi Edimburgo.
164;09_12_2022_chunk_2.wav;Dove ieri è arrivato il feretro della madre, la Regina Elisabetta, dopo un viaggio nelle campagne scozzesi, accompagnato dall'omaggio di migliaia di cittadini.
165;09_12_2022_chunk_2.wav;Nel pomeriggio la cerimonia.
166;09_12_2022_chunk_2.wav;Nella cattedrale di Sant'Egidio per una messa e domani la salma verrà trasferita AA Londra.
167;09_12_2022_chunk_3.wav;7 milioni di studenti tornano in classe senza obbligo di mascherina e distanziamento.
168;09_12_2022_chunk_3.wav;Non ci sarà più neanche la didattica a distanza.
169;09_12_2022_chunk_3.wav;Prima campanella oggi per i ragazzi di Abruzzo, Lombardia, Basilicata.
170;09_12_2022_chunk_3.wav;Friuli Venezia Giulia.
171;09_12_2022_chunk_3.wav;Piemonte, Veneto e provincia di Trento.
172;09_12_2022_chunk_4.wav;Trionfo dell'Italia della pallavolo che ieri ha battuto la Polonia per tre a uno.
173;09_12_2022_chunk_4.wav;Ed è campione del mondo dopo 24 anni.
174;09_12_2022_chunk_4.wav;Abbiamo fatto qualcosa di straordinario ha detto il CT Federico De Giorgi.
175;09_12_2022_chunk_4.wav;Questi ragazzi sono speciali.
176;09_12_2022_chunk_5.wav;Formula Uno, festa a Monza nel centenario dell'Autodromo, nonostante la Ferrari di Leclerc sia arrivata solo seconda.
177;09_12_2022_chunk_5.wav;Tra il pubblico anche il capo dello Stato.
178;09_12_2022_chunk_5.wav;La vittoria alla redbull del Leader mondiale Max verstappen.
179;09_12_2022_chunk_5.wav;Fischi in pista per la safety car sul finale.
180;09_12_2022_chunk_6.wav;Ed era la nostra ultima notizia. Vi ringrazio per la vostra attenzione e vi auguro una buona giornata.
181;09_13_2022_chunk_1.wav;Buongiorno dal tg uno, mancano 12 giorni al voto, 10 di campagna elettorale, ieri il faccia a faccia organizzato dal Corriere tra il segretario del Pd Letta.
182;09_13_2022_chunk_1.wav;E la leader di Fratelli d'Italia Meloni
183;09_13_2022_chunk_1.wav;Visioni simili sulle sanzioni alla Russia.
184;09_13_2022_chunk_1.wav;Distanti sul PNR.
185;09_13_2022_chunk_2.wav;3.
186;09_13_2022_chunk_2.wav;Per Calenda, che si inserisce a distanza nel confronto, sarebbe una follia rinegoziare il piano.
187;09_13_2022_chunk_2.wav;E Oggi al Senato arriva il decreto aiuti bis.
188;09_13_2022_chunk_3.wav;La guerra in Ucraina
189;09_13_2022_chunk_3.wav;L'esercito di Kiev avanza ancora a est.
190;09_13_2022_chunk_3.wav;Abbiamo recuperato 6000 km in un mese.
191;09_13_2022_chunk_3.wav;Ha detto il presidente Zelensky, nessun negoziato fino alla liberazione completa aggiunto.
192;09_13_2022_chunk_3.wav;Le truppe di Mosca continuano a bombardare i territori persi.
193;09_13_2022_chunk_4.wav;Eh si.
194;09_13_2022_chunk_4.wav;Oggi si riunisce l'Assemblea generale delle Nazioni Unite.
195;09_13_2022_chunk_5.wav;A Bruxelles la Commissione europea si appresta a proporre ai paesi membri.
196;09_13_2022_chunk_5.wav;Un taglio obbligatorio dei consumi elettrici per contrastare i rincari.
197;09_13_2022_chunk_5.wav;Ogni paese deciderà la fascia oraria in cui applicarlo.
198;09_13_2022_chunk_6.wav;Nessun accordo per ora sul tetto il prezzo del gas.
199;09_13_2022_chunk_7.wav;Ancora un dramma nel Mediterraneo.
200;09_13_2022_chunk_7.wav;A Pozzallo, soccorsa un'imbarcazione con 26 migranti.
